rental_id;start_station_fk;end_station_fk;cost;rent_time;distance;vehicle_fk;user_fk;correct_putting;date_of_start;time_of_start
1001;79;84;98.6;74;1824;21;9;1;22-04-2021;08:55
1002;89;31;248.55;25;4921;68;60;1;31-03-2020;09:13
1003;46;22;628.5;132;12306;30;93;1;27-11-2020;08:40
1004;105;32;600.95;76;11867;26;63;1;18-12-2023;13:04
1005;32;42;595.55;171;11569;73;73;0;24-05-2021;02:59
1006;15;62;69.7;75;1244;32;4;1;16-02-2021;12:59
1007;74;54;27.25;134;277;2;73;1;19-12-2020;23:07
1008;92;90;102.3;24;1998;24;15;1;25-04-2023;23:17
1009;105;34;415.65;19;8275;103;107;1;25-09-2022;22:48
1010;105;98;601.55;23;11985;92;14;1;30-11-2023;14:10
1011;79;70;423.4;9;8450;49;89;1;10-02-2023;12:34
1012;94;9;745.55;102;14707;39;14;1;04-12-2020;06:36
1013;96;11;541.2;38;10748;90;47;1;15-12-2023;08:38
1014;77;81;488.9;70;9638;66;89;0;26-06-2023;06:42
1015;20;25;622.15;90;12263;40;86;1;25-06-2021;21:37
1016;49;28;25.7;73;368;2;97;1;09-10-2023;14:14
1017;36;39;693.15;87;13689;72;107;1;26-06-2022;05:55
1018;84;71;610.75;31;12153;10;48;1;24-04-2021;21:10
1019;9;104;374.9;33;7432;70;53;1;30-08-2020;22:55
1020;62;109;742.45;125;14599;3;71;1;18-06-2020;02:10
1021;75;71;208.8;84;4008;80;23;1;09-04-2023;01:43
1022;94;4;59.5;56;1078;8;45;1;21-12-2023;00:53
1023;8;32;195.2;63;3778;15;56;1;27-07-2021;15:35
1024;71;25;584.4;101;11486;72;66;1;26-01-2021;16:14
1025;72;47;232.65;161;4331;48;49;1;30-03-2023;23:31
1026;40;37;740.8;78;14660;65;30;1;09-11-2020;17:40
1027;28;97;199.85;27;3943;12;100;1;01-09-2020;05:29
1028;82;16;667.45;106;13137;33;17;1;04-01-2021;08:05
1029;53;58;100.8;139;1738;42;52;1;10-12-2023;11:06
1030;32;58;458.75;40;9095;46;75;1;15-06-2021;21:48
1031;75;72;356.25;49;7027;10;63;1;27-08-2020;05:44
1032;4;7;78.3;162;1242;59;58;1;26-02-2020;20:37
1033;96;1;250.55;145;4721;12;75;1;07-05-2023;12:59
1034;41;64;674.0;97;13286;60;63;1;26-01-2023;12:32
1035;78;60;655.35;116;12875;45;42;1;14-10-2023;00:33
1036;14;93;97.0;7;1926;48;43;1;28-04-2023;12:53
1037;104;80;106.05;169;1783;22;72;1;30-06-2022;01:03
1038;62;91;585.05;68;11565;41;66;0;12-12-2022;06:15
1039;48;45;38.0;133;494;89;90;1;24-02-2020;11:05
1040;98;92;179.65;139;3315;66;76;1;20-04-2021;02:46
1041;14;43;603.35;141;11785;33;71;1;05-09-2022;14:33
1042;10;77;702.65;56;13941;66;105;1;05-11-2021;23:09
1043;96;26;87.5;156;1438;109;1;1;14-02-2021;21:02
1044;45;77;121.0;94;2232;84;78;1;05-11-2020;05:56
1045;64;95;197.95;61;3837;16;32;1;18-12-2023;12:25
1046;76;5;108.05;146;1869;39;73;1;15-06-2022;20:12
1047;24;79;709.7;29;14136;69;93;1;10-12-2021;17:30
1048;3;21;757.2;149;14846;61;48;1;29-04-2022;15:38
1049;91;36;268.35;40;5287;5;39;1;08-08-2020;23:02
1050;6;95;50.55;17;977;33;66;1;06-04-2023;15:34
1051;19;64;100.1;17;1968;7;106;1;31-03-2020;09:17
1052;27;108;247.15;43;4857;5;53;1;08-05-2021;14:31
1053;11;93;362.25;14;7217;47;20;1;14-09-2021;15:04
1054;77;42;19.5;86;218;46;104;1;18-04-2020;22:18
1055;69;55;235.3;155;4396;2;92;1;09-07-2022;02:18
1056;61;47;629.8;167;12262;39;99;1;20-11-2022;22:19
1057;21;30;746.3;14;14898;81;110;1;08-08-2020;00:17
1058;25;101;410.0;54;8092;1;15;1;22-04-2020;07:21
1059;59;22;644.45;47;12795;43;82;1;15-06-2023;20:55
1060;70;11;243.95;18;4843;12;95;1;29-11-2020;09:00
1061;44;90;307.25;60;6025;74;39;1;08-08-2020;13:59
1062;84;106;232.6;107;4438;27;38;1;07-06-2021;08:32
1063;63;103;472.15;108;9227;106;39;1;25-10-2022;06:43
1064;37;87;426.8;12;8512;90;14;1;24-10-2022;04:24
1065;25;51;489.7;145;9504;20;65;0;29-06-2020;01:28
1066;82;43;53.05;108;845;87;60;1;20-12-2021;03:20
1067;57;27;535.5;41;10628;94;15;1;17-12-2023;02:04
1068;48;101;258.6;135;4902;48;6;1;13-12-2023;22:13
1069;17;11;38.95;150;479;30;66;1;26-09-2022;01:24
1070;94;5;163.55;119;3033;78;24;1;29-03-2020;09:48
1071;31;28;90.15;51;1701;54;76;1;24-01-2022;01:56
1072;36;48;141.7;106;2622;53;21;1;04-05-2021;19:53
1073;78;55;60.95;120;979;79;82;1;25-02-2022;11:44
1074;93;21;191.15;95;3633;99;105;1;11-06-2020;01:08
1075;26;69;577.7;54;11446;18;42;1;11-08-2020;06:53
1076;47;25;402.45;173;7703;82;17;1;22-06-2022;20:04
1077;75;91;677.05;118;13305;20;68;1;25-01-2023;20:38
1078;82;106;145.9;147;2624;19;30;1;21-03-2020;19:40
1079;97;84;302.65;75;5903;74;7;1;16-01-2023;12:11
1080;73;78;657.2;42;13060;81;72;1;27-09-2021;02:16
1081;48;103;457.45;124;8901;109;81;1;26-01-2023;04:34
1082;106;54;78.3;33;1500;7;17;0;09-08-2023;14:39
1083;23;17;173.7;174;3126;42;22;1;26-02-2020;10:26
1084;74;68;133.6;11;2650;10;108;1;19-09-2021;18:34
1085;10;24;245.25;145;4615;54;47;1;23-05-2020;09:29
1086;92;1;206.25;178;3769;36;77;1;23-08-2020;06:25
1087;77;69;737.3;91;14564;18;17;1;06-01-2021;05:59
1088;82;56;181.7;48;3538;18;106;1;20-12-2023;19:40
1089;107;100;691.25;131;13563;62;70;1;18-12-2022;20:36
1090;15;103;496.6;48;9836;71;98;1;22-11-2023;17:04
1091;104;74;260.2;41;5122;53;63;1;18-04-2021;14:16
1092;23;41;682.6;120;13412;9;92;1;14-11-2023;17:52
1093;12;16;246.65;65;4803;30;63;1;05-07-2022;19:57
1094;70;86;462.65;50;9153;18;39;1;21-11-2020;23:31
1095;100;61;460.95;28;9163;22;16;1;23-12-2021;13:23
1096;101;26;144.75;29;2837;74;103;1;14-06-2021;12:34
1097;72;101;99.9;116;1766;54;60;1;12-10-2020;02:51
1098;13;60;601.55;166;11699;105;110;1;09-03-2020;10:39
1099;4;22;112.9;57;2144;11;1;1;05-07-2023;22:47
1100;68;95;13.1;11;240;40;104;1;28-06-2021;04:36
