replacement_id;van_route_fk;vehicle_fk
1;146;39
2;154;97
3;670;51
4;734;45
5;215;13
6;112;7
7;408;19
8;812;25
9;831;34
10;337;41
11;476;45
12;843;18
13;622;12
14;478;71
15;845;36
16;138;11
17;177;98
18;659;49
19;480;98
20;448;55
21;275;43
22;453;3
23;53;41
24;695;46
25;910;33
26;147;67
27;553;20
28;47;38
29;827;54
30;15;6
31;342;16
32;69;48
33;203;90
34;895;43
35;695;35
36;956;10
37;516;88
38;186;91
39;106;56
40;868;31
41;981;97
42;14;16
43;518;8
44;921;45
45;301;23
46;251;14
47;202;66
48;9;22
49;919;51
50;811;26
51;719;4
52;780;89
53;150;42
54;912;60
55;857;74
56;572;66
57;933;84
58;434;37
59;982;79
60;470;19
61;58;76
62;865;43
63;789;72
64;90;43
65;4;24
66;581;48
67;653;36
68;284;61
69;954;20
70;895;15
71;644;46
72;163;79
73;644;91
74;280;56
75;862;85
76;952;37
77;4;98
78;510;13
79;617;26
80;264;47
81;254;100
82;640;41
83;890;8
84;538;92
85;342;55
86;212;83
87;818;73
88;655;3
89;446;82
90;443;99
91;356;64
92;138;69
93;244;49
94;197;11
95;554;98
96;951;81
97;546;10
98;614;84
99;698;50
100;477;51
101;33;16
102;282;99
103;876;4
104;942;97
105;973;55
106;206;40
107;697;6
108;826;33
109;941;19
110;295;27
111;566;80
112;994;25
113;309;61
114;327;56
115;271;21
116;711;68
117;818;35
118;507;35
119;38;78
120;911;56
121;207;70
122;324;100
123;905;99
124;703;40
125;685;31
126;713;12
127;220;21
128;39;54
129;687;83
130;928;49
131;38;25
132;384;30
133;517;3
134;608;42
135;107;40
136;107;41
137;67;80
138;734;34
139;448;49
140;398;45
141;443;38
142;81;9
143;202;75
144;963;86
145;508;83
146;765;14
147;617;45
148;664;40
149;805;60
150;874;56
151;917;76
152;129;63
153;242;90
154;834;1
155;600;1
156;700;91
157;332;50
158;342;77
159;49;75
160;753;18
161;968;86
162;958;11
163;949;19
164;673;30
165;200;81
166;784;84
167;831;14
168;793;4
169;241;21
170;147;7
171;892;35
172;526;21
173;833;17
174;850;93
175;424;70
176;116;90
177;530;16
178;295;41
179;995;93
180;574;6
181;998;21
182;644;94
183;365;42
184;340;76
185;520;48
186;169;89
187;864;36
188;888;88
189;581;16
190;9;91
191;976;32
192;387;28
193;767;69
194;446;72
195;217;56
196;192;60
197;443;81
198;536;6
199;793;31
200;982;59
201;410;67
202;806;63
203;790;97
204;964;11
205;697;85
206;699;45
207;860;46
208;746;35
209;516;70
210;139;48
211;90;24
212;275;40
213;728;83
214;103;87
215;567;64
216;167;86
217;474;8
218;409;65
219;19;43
220;205;71
221;230;99
222;607;49
223;82;3
224;253;94
225;492;43
226;151;17
227;985;2
228;964;69
229;566;31
230;990;42
231;369;2
232;981;24
233;204;52
234;5;33
235;479;38
236;397;78
237;631;62
238;833;12
239;240;35
240;331;83
241;362;86
242;696;32
243;553;14
244;102;53
245;902;93
246;970;83
247;321;95
248;675;35
249;18;98
250;978;91
251;211;23
252;932;34
253;235;84
254;170;59
255;446;38
256;350;79
257;509;54
258;123;53
259;901;28
260;929;90
261;830;24
262;484;37
263;385;44
264;14;88
265;691;44
266;861;19
267;797;47
268;818;92
269;385;75
270;259;2
271;947;77
272;232;61
273;550;38
274;155;94
275;172;95
276;358;64
277;216;57
278;621;32
279;585;4
280;102;54
281;769;70
282;752;97
283;571;55
284;625;57
285;323;27
286;476;74
287;438;81
288;960;5
289;218;6
290;124;14
291;98;2
292;746;39
293;828;13
294;556;69
295;827;45
296;530;26
297;952;8
298;280;29
299;887;82
300;505;13
301;97;64
302;450;37
303;983;100
304;309;73
305;55;35
306;443;2
307;36;100
308;72;61
309;548;55
310;810;22
311;10;70
312;583;68
313;602;3
314;613;78
315;740;67
316;847;28
317;7;55
318;386;87
319;158;21
320;94;90
321;363;24
322;648;65
323;571;89
324;557;11
325;229;6
326;356;2
327;6;7
328;10;90
329;267;51
330;708;23
331;253;22
332;991;34
333;439;100
334;838;98
335;525;91
336;224;75
337;220;95
338;882;75
339;31;23
340;742;95
341;262;56
342;661;66
343;654;22
344;470;17
345;169;80
346;851;72
347;718;97
348;664;36
349;361;82
350;206;98
351;692;43
352;544;55
353;361;100
354;591;62
355;3;66
356;275;64
357;390;81
358;918;14
359;20;95
360;618;46
361;449;99
362;194;55
363;804;47
364;720;9
365;256;56
366;832;60
367;437;45
368;353;72
369;263;82
370;313;18
371;955;24
372;763;67
373;606;86
374;202;11
375;416;37
376;799;82
377;554;91
378;54;44
379;652;9
380;659;59
381;612;39
382;635;47
383;564;93
384;197;86
385;32;31
386;707;87
387;4;2
388;22;2
389;276;82
390;859;18
391;424;57
392;376;58
393;86;77
394;260;81
395;472;66
396;715;85
397;991;72
398;639;14
399;426;84
400;767;53
401;915;97
402;530;82
403;264;90
404;650;33
405;56;59
406;275;10
407;207;5
408;805;70
409;981;94
410;969;82
411;366;6
412;708;50
413;212;18
414;889;62
415;90;80
416;320;54
417;407;61
418;259;40
419;119;43
420;736;24
421;135;31
422;826;10
423;777;17
424;744;22
425;404;68
426;119;7
427;608;9
428;970;50
429;404;98
430;766;31
431;629;83
432;458;16
433;440;65
434;652;76
435;874;71
436;728;94
437;473;66
438;506;95
439;597;6
440;258;6
441;904;51
442;567;39
443;283;57
444;49;85
445;410;51
446;929;6
447;399;50
448;12;74
449;349;92
450;442;87
451;492;18
452;713;13
453;494;11
454;851;23
455;133;96
456;913;33
457;276;4
458;950;35
459;303;64
460;478;43
461;148;17
462;336;69
463;478;63
464;224;49
465;664;85
466;731;57
467;712;39
468;418;19
469;235;87
470;813;88
471;697;46
472;922;38
473;909;1
474;603;33
475;526;92
476;991;75
477;440;56
478;836;20
479;98;51
480;486;61
481;260;76
482;569;6
483;854;17
484;864;82
485;137;95
486;546;8
487;983;15
488;598;50
489;483;39
490;957;5
491;114;14
492;876;67
493;273;7
494;607;94
495;830;26
496;41;6
497;841;57
498;172;60
499;326;98
500;210;16
501;236;67
502;804;90
503;217;62
504;554;77
505;227;53
506;696;64
507;696;56
508;856;20
509;984;75
510;81;17
511;167;61
512;706;59
513;51;35
514;341;82
515;816;50
516;758;89
517;562;83
518;619;40
519;983;72
520;853;20
521;976;84
522;79;95
523;26;4
524;551;47
525;405;27
526;890;14
527;989;73
528;354;61
529;450;86
530;421;80
531;506;94
532;114;74
533;724;41
534;175;54
535;46;81
536;309;58
537;931;45
538;93;53
539;794;4
540;524;37
541;483;42
542;754;48
543;49;79
544;616;82
545;622;83
546;715;91
547;815;61
548;351;76
549;146;74
550;121;78
551;965;29
552;195;37
553;501;2
554;554;66
555;285;43
556;83;43
557;563;32
558;638;57
559;798;14
560;959;51
561;445;68
562;836;96
563;209;29
564;290;47
565;411;14
566;157;85
567;821;31
568;398;68
569;268;49
570;904;65
571;842;40
572;686;49
573;474;56
574;357;77
575;766;9
576;526;67
577;439;53
578;893;66
579;347;87
580;818;28
581;734;47
582;471;18
583;284;36
584;562;14
585;988;39
586;53;28
587;926;39
588;670;77
589;899;2
590;810;69
591;912;1
592;10;34
593;788;82
594;322;5
595;477;2
596;732;71
597;284;20
598;718;78
599;287;44
600;993;3
601;84;45
602;139;17
603;586;83
604;277;99
605;595;32
606;678;98
607;278;65
608;468;76
609;651;30
610;764;69
611;558;29
612;542;3
613;873;9
614;439;61
615;996;17
616;711;40
617;538;38
618;366;81
619;222;14
620;868;40
621;813;60
622;60;7
623;422;50
624;878;5
625;106;42
626;194;79
627;17;89
628;454;24
629;340;28
630;280;82
631;815;53
632;13;14
633;744;1
634;539;75
635;878;76
636;952;35
637;385;53
638;187;11
639;7;65
640;1000;78
641;360;36
642;263;3
643;181;38
644;557;63
645;473;97
646;857;44
647;406;35
648;669;67
649;74;26
650;660;1
651;714;44
652;715;22
653;532;65
654;979;30
655;252;33
656;970;63
657;200;80
658;576;55
659;648;97
660;811;97
661;634;90
662;676;7
663;58;69
664;214;4
665;294;23
666;412;72
667;323;86
668;738;69
669;961;23
670;25;74
671;923;7
672;122;98
673;504;20
674;961;74
675;728;67
676;530;2
677;75;98
678;286;73
679;808;78
680;937;56
681;1;67
682;633;78
683;403;19
684;708;66
685;703;71
686;987;1
687;318;27
688;692;29
689;981;60
690;815;50
691;995;14
692;600;6
693;629;67
694;122;23
695;170;51
696;963;68
697;25;90
698;978;97
699;642;62
700;262;25
701;413;76
702;369;62
703;114;13
704;615;31
705;968;81
706;684;96
707;714;17
708;231;74
709;477;76
710;836;77
711;289;62
712;511;25
713;333;55
714;413;78
715;371;43
716;443;14
717;681;58
718;949;71
719;147;44
720;82;100
721;696;8
722;276;25
723;274;62
724;284;54
725;516;82
726;512;51
727;627;49
728;369;8
729;883;39
730;275;11
731;489;46
732;275;70
733;370;90
734;454;26
735;447;34
736;381;94
737;682;65
738;608;74
739;723;92
740;487;51
741;701;26
742;164;63
743;536;57
744;867;33
745;993;16
746;440;52
747;303;95
748;428;41
749;914;86
750;541;37
751;23;72
752;716;9
753;632;14
754;4;41
755;642;4
756;159;76
757;899;53
758;745;60
759;558;71
760;430;22
761;793;65
762;10;83
763;555;15
764;45;47
765;588;78
766;67;55
767;182;42
768;270;70
769;858;36
770;555;46
771;986;9
772;627;4
773;866;67
774;608;1
775;688;82
776;857;71
777;82;90
778;320;33
779;799;96
780;828;71
781;82;79
782;770;90
783;79;99
784;897;39
785;401;34
786;667;69
787;739;30
788;451;72
789;978;45
790;786;41
791;236;47
792;938;28
793;310;4
794;160;95
795;160;38
796;468;30
797;610;16
798;527;49
799;415;9
800;629;56
801;294;99
802;885;12
803;185;93
804;377;95
805;964;46
806;47;64
807;784;80
808;491;36
809;345;89
810;554;29
811;62;96
812;413;57
813;678;17
814;435;95
815;395;27
816;424;18
817;23;33
818;796;82
819;986;34
820;825;63
821;327;65
822;863;45
823;315;40
824;625;68
825;645;54
826;626;32
827;960;84
828;316;78
829;506;32
830;476;86
831;555;69
832;715;28
833;997;79
834;728;71
835;984;15
836;830;5
837;901;72
838;96;72
839;708;6
840;241;83
841;65;70
842;113;17
843;298;35
844;615;95
845;225;13
846;601;6
847;109;67
848;347;45
849;200;94
850;164;68
851;979;56
852;603;37
853;268;85
854;926;57
855;39;63
856;844;11
857;553;35
858;727;83
859;2;26
860;869;60
861;218;9
862;729;27
863;966;96
864;248;19
865;468;90
866;599;47
867;570;52
868;925;71
869;422;75
870;741;100
871;506;79
872;802;35
873;16;2
874;452;15
875;470;56
876;730;83
877;303;16
878;191;60
879;602;5
880;940;67
881;234;60
882;330;22
883;334;49
884;451;96
885;146;61
886;723;12
887;808;5
888;925;7
889;745;26
890;641;25
891;530;72
892;152;55
893;951;95
894;391;92
895;659;86
896;400;36
897;340;6
898;959;54
899;217;36
900;869;44
901;197;24
902;368;6
903;523;76
904;893;7
905;37;13
906;469;47
907;680;52
908;647;69
909;112;33
910;243;64
911;298;6
912;382;65
913;997;29
914;479;81
915;295;93
916;768;28
917;460;98
918;419;51
919;403;99
920;583;69
921;594;12
922;829;92
923;643;59
924;109;96
925;977;90
926;712;95
927;455;50
928;735;89
929;281;40
930;285;97
931;907;71
932;75;68
933;935;75
934;373;42
935;450;74
936;431;62
937;82;91
938;922;80
939;277;44
940;85;95
941;482;85
942;236;69
943;622;43
944;341;68
945;635;4
946;564;49
947;48;62
948;9;81
949;478;33
950;415;17
951;247;5
952;725;38
953;246;32
954;619;47
955;386;77
956;658;13
