Id;Longitude;Latitude;In_Use;Capacity;Name
5001;20.076675;49.344794;0;13;s13x5001
5002;23.751238;49.629026;1;7;s7x5002
5003;19.806278;52.565327;1;25;s25x5003
5004;23.252791;49.149502;1;29;s29x5004
5005;22.164279;50.953045;1;6;s6x5005
5006;17.583078;51.785067;1;18;s18x5006
5007;14.400883;52.462387;1;6;s6x5007
5008;15.791713;52.468574;1;24;s24x5008
5009;17.168668;52.347519;1;26;s26x5009
5010;22.822776;51.490528;1;25;s25x5010
5011;18.347577;49.892841;0;27;s27x5011
5012;16.649948;53.300815;1;9;s9x5012
5013;20.440528;53.922635;1;15;s15x5013
5014;22.574698;52.795635;1;5;s5x5014
5015;15.290866;53.562552;1;11;s11x5015
5016;17.185807;50.28089;0;29;s29x5016
5017;22.144477;53.590111;0;6;s6x5017
5018;22.9138;52.093167;1;7;s7x5018
5019;17.649824;51.461861;0;16;s16x5019
5020;21.981802;53.371186;1;22;s22x5020
5021;14.239067;54.164199;1;24;s24x5021
5022;16.816941;49.826858;1;11;s11x5022
5023;19.427203;52.830284;1;27;s27x5023
5024;16.45206;52.773834;1;28;s28x5024
5025;14.967065;54.416443;0;13;s13x5025
5026;21.747368;54.642098;1;12;s12x5026
5027;19.285699;49.569927;1;16;s16x5027
5028;22.969935;49.814529;1;8;s8x5028
5029;18.617147;52.291829;1;5;s5x5029
5030;21.442943;54.230453;1;20;s20x5030
5031;15.1061;51.293318;1;20;s20x5031
5032;17.282074;51.107558;0;24;s24x5032
5033;17.720461;51.373295;1;12;s12x5033
5034;14.81227;52.560067;1;24;s24x5034
5035;16.319343;53.491646;0;30;s30x5035
5036;15.567083;52.916718;1;24;s24x5036
5037;14.507742;53.169375;1;26;s26x5037
5038;23.916966;54.60204;1;7;s7x5038
5039;16.833757;49.468839;1;19;s19x5039
5040;15.400576;49.537209;0;24;s24x5040
5041;15.412408;52.374459;1;17;s17x5041
5042;22.79904;54.168303;1;10;s10x5042
5043;18.145907;53.744822;1;28;s28x5043
5044;21.55829;52.421926;1;9;s9x5044
5045;18.49718;51.134297;1;19;s19x5045
5046;15.264484;54.639133;1;7;s7x5046
5047;17.659425;53.738177;1;30;s30x5047
5048;18.831743;50.319832;1;12;s12x5048
5049;16.611603;49.622321;1;16;s16x5049
5050;22.761831;53.09935;1;6;s6x5050
5051;14.718493;53.56285;1;25;s25x5051
5052;22.97269;49.669084;1;19;s19x5052
5053;23.272149;50.973561;1;14;s14x5053
5054;21.982156;50.952234;1;14;s14x5054
5055;15.78315;52.040005;1;11;s11x5055
5056;23.584353;49.477883;1;28;s28x5056
5057;15.000245;49.022842;1;6;s6x5057
5058;16.04488;50.472976;1;18;s18x5058
5059;18.975008;52.32198;1;27;s27x5059
5060;21.225965;49.766016;1;15;s15x5060
5061;14.105566;53.603071;1;14;s14x5061
5062;18.661128;54.057707;1;28;s28x5062
5063;23.757068;54.652476;1;15;s15x5063
5064;15.079311;51.416145;1;27;s27x5064
5065;19.45335;53.018142;1;14;s14x5065
5066;19.571042;50.62074;1;25;s25x5066
5067;21.758183;53.903485;1;30;s30x5067
5068;14.857785;50.576151;1;23;s23x5068
5069;23.393291;49.355033;1;17;s17x5069
5070;14.474687;53.217704;1;22;s22x5070
5071;14.808459;52.53645;1;22;s22x5071
5072;18.415735;53.349856;0;16;s16x5072
5073;23.760768;54.721275;1;29;s29x5073
5074;18.495215;50.417751;1;6;s6x5074
5075;23.074002;53.731745;1;20;s20x5075
5076;15.325354;53.433589;1;5;s5x5076
5077;23.738706;54.661076;1;10;s10x5077
5078;19.349373;50.973075;1;20;s20x5078
5079;16.673642;51.28682;1;8;s8x5079
5080;17.564944;49.237098;1;6;s6x5080
5081;17.623258;50.279913;0;23;s23x5081
5082;17.33372;50.410522;1;12;s12x5082
5083;20.512074;51.589012;1;30;s30x5083
5084;19.326218;49.359819;1;15;s15x5084
5085;22.315516;54.178942;1;9;s9x5085
5086;21.096133;52.644758;1;17;s17x5086
5087;20.730684;50.180687;1;19;s19x5087
5088;14.905429;50.337447;1;27;s27x5088
5089;21.054787;52.08867;1;12;s12x5089
5090;21.447454;52.760614;1;27;s27x5090
5091;18.611191;52.7546;1;26;s26x5091
5092;15.78013;50.138273;0;16;s16x5092
5093;18.986771;52.760168;1;17;s17x5093
5094;21.664812;53.787982;1;15;s15x5094
5095;14.377868;53.497532;1;29;s29x5095
5096;23.117362;53.82083;1;25;s25x5096
5097;19.998698;50.18686;1;27;s27x5097
5098;22.42643;50.154048;1;6;s6x5098
5099;23.229901;51.406176;1;9;s9x5099
5100;14.777332;53.441666;1;12;s12x5100
5101;21.889868;51.353074;1;14;s14x5101
5102;15.741434;49.604951;1;18;s18x5102
5103;18.233751;49.320121;1;17;s17x5103
5104;15.738784;54.463529;1;17;s17x5104
5105;15.137736;53.037314;1;12;s12x5105
5106;20.768633;52.951809;1;26;s26x5106
5107;15.158876;51.424586;1;19;s19x5107
5108;18.158065;52.86571;1;11;s11x5108
5109;17.344065;49.727392;0;23;s23x5109
5110;20.043379;51.669265;1;15;s15x5110
5111;19.102405;52.58333;1;12;s12x5111
5112;23.373963;52.041382;1;15;s15x5112
5113;19.134544;51.538252;1;22;s22x5113
5114;19.908075;51.68335;1;24;s24x5114
5115;18.296145;52.487518;1;7;s7x5115
5116;14.678158;50.853487;1;17;s17x5116
5117;20.537224;53.913291;1;26;s26x5117
5118;18.590733;50.087258;1;23;s23x5118
5119;18.9092;53.500004;1;5;s5x5119
5120;18.846284;50.146826;1;27;s27x5120
5121;19.690345;51.802377;1;17;s17x5121
5122;17.36875;49.177222;1;20;s20x5122
5123;16.640122;54.409702;1;14;s14x5123
5124;22.378034;50.696518;1;19;s19x5124
5125;18.653502;51.687313;1;20;s20x5125
5126;18.943355;52.028427;1;19;s19x5126
5127;17.554744;50.975141;1;16;s16x5127
5128;19.540425;53.181722;1;25;s25x5128
5129;18.985306;51.097542;1;7;s7x5129
5130;21.49039;53.494254;1;23;s23x5130
5131;19.372545;49.230341;1;28;s28x5131
5132;15.208994;49.80304;0;17;s17x5132
5133;19.908803;50.353809;1;12;s12x5133
5134;16.895933;50.721213;1;11;s11x5134
5135;14.653464;49.052764;1;29;s29x5135
5136;17.472705;53.448018;1;5;s5x5136
5137;23.887035;54.581891;1;17;s17x5137
5138;19.508167;51.973314;1;21;s21x5138
5139;16.213423;51.85289;1;9;s9x5139
5140;18.291866;53.822123;1;13;s13x5140
5141;15.53963;53.093278;1;29;s29x5141
5142;18.846257;53.368716;0;24;s24x5142
5143;16.975349;53.900094;1;16;s16x5143
5144;15.563951;54.063391;1;8;s8x5144
5145;14.275162;53.137001;1;23;s23x5145
5146;20.927729;51.451211;1;10;s10x5146
5147;15.525673;49.570678;1;8;s8x5147
5148;19.195437;54.788486;1;7;s7x5148
5149;18.604344;50.835523;1;15;s15x5149
5150;17.923723;50.99841;1;10;s10x5150
5151;19.878452;51.714012;1;20;s20x5151
5152;18.259217;51.48102;1;7;s7x5152
5153;19.907734;54.404441;1;20;s20x5153
5154;21.095653;52.585479;1;10;s10x5154
5155;16.362069;50.547046;1;23;s23x5155
5156;22.091372;52.59489;1;7;s7x5156
5157;20.537919;51.649047;1;23;s23x5157
5158;21.474952;49.895085;1;29;s29x5158
5159;15.754022;53.108164;1;14;s14x5159
5160;14.335417;52.447705;1;26;s26x5160
5161;16.789696;50.297939;1;18;s18x5161
5162;23.665141;49.165711;1;5;s5x5162
5163;16.736004;53.43203;1;27;s27x5163
5164;18.320069;54.186102;1;6;s6x5164
5165;23.927611;50.870016;0;22;s22x5165
5166;15.912673;54.050099;1;20;s20x5166
5167;21.402199;49.217672;1;20;s20x5167
5168;23.122207;49.632023;0;12;s12x5168
5169;22.161899;53.24791;1;20;s20x5169
5170;17.742145;50.979198;1;26;s26x5170
5171;17.559069;50.965015;1;23;s23x5171
5172;22.808185;54.663765;1;10;s10x5172
5173;18.005253;49.969163;1;7;s7x5173
5174;14.931912;50.77362;1;23;s23x5174
5175;17.997581;50.585037;1;22;s22x5175
5176;15.974165;50.042463;1;7;s7x5176
5177;19.702813;52.187347;0;20;s20x5177
5178;18.142128;49.028894;1;14;s14x5178
5179;14.776469;53.366552;1;17;s17x5179
5180;17.020382;52.722155;1;19;s19x5180
5181;22.381889;54.235013;1;22;s22x5181
5182;19.535379;52.089061;1;27;s27x5182
5183;22.76272;54.677074;1;28;s28x5183
5184;20.143747;49.459652;1;15;s15x5184
5185;21.026586;49.264821;1;7;s7x5185
5186;23.868584;51.715326;1;5;s5x5186
5187;19.980577;49.920547;1;12;s12x5187
5188;15.637895;51.231313;0;13;s13x5188
5189;17.568889;52.289616;1;20;s20x5189
5190;15.378034;50.284506;1;30;s30x5190
5191;18.649347;50.878774;1;15;s15x5191
5192;16.652876;51.427526;1;18;s18x5192
5193;22.85804;51.422172;1;12;s12x5193
5194;15.005343;52.74949;0;29;s29x5194
5195;14.844119;50.203034;1;28;s28x5195
5196;19.615495;50.961735;1;29;s29x5196
5197;22.549215;52.840725;1;24;s24x5197
5198;19.99941;51.866878;1;19;s19x5198
5199;19.010895;49.149526;1;22;s22x5199
5200;20.335692;52.424965;1;27;s27x5200
5201;18.47557;51.873929;1;18;s18x5201
5202;16.387298;52.305964;0;18;s18x5202
5203;19.969098;50.012555;1;22;s22x5203
5204;19.0183;49.843003;1;23;s23x5204
5205;22.57564;50.219215;1;21;s21x5205
5206;21.933708;54.636714;1;18;s18x5206
5207;14.34026;51.160734;0;22;s22x5207
5208;19.968353;50.344448;1;23;s23x5208
5209;23.548286;51.44452;0;29;s29x5209
5210;23.013497;50.407877;1;23;s23x5210
5211;14.524763;51.743913;1;6;s6x5211
5212;20.382932;50.115519;1;6;s6x5212
5213;14.882617;53.601341;1;5;s5x5213
5214;14.890228;50.689705;1;19;s19x5214
5215;22.597421;52.488699;0;10;s10x5215
5216;19.509444;51.069304;1;24;s24x5216
5217;19.149056;50.077939;1;8;s8x5217
5218;21.243531;54.57525;1;7;s7x5218
5219;20.706979;50.562137;1;26;s26x5219
5220;19.385783;54.345565;1;8;s8x5220
5221;15.357265;49.421325;1;26;s26x5221
5222;18.152843;49.61833;0;9;s9x5222
5223;16.46463;53.156106;1;15;s15x5223
5224;20.703393;54.168696;1;9;s9x5224
5225;15.743673;49.917151;1;13;s13x5225
5226;14.202262;49.150698;1;8;s8x5226
5227;20.221346;50.571348;1;25;s25x5227
5228;18.605611;50.490733;0;30;s30x5228
5229;23.943063;50.227535;1;10;s10x5229
5230;14.394738;53.347153;0;5;s5x5230
5231;14.131123;49.536737;1;7;s7x5231
5232;14.699419;53.909735;1;6;s6x5232
5233;16.972982;53.008869;1;18;s18x5233
5234;21.09435;54.160795;1;26;s26x5234
5235;22.936231;49.110303;1;14;s14x5235
5236;17.27261;53.779429;1;5;s5x5236
5237;19.546072;49.086751;1;24;s24x5237
5238;23.8254;49.349748;0;22;s22x5238
5239;18.416473;49.260007;1;15;s15x5239
5240;21.914284;53.810279;1;24;s24x5240
5241;18.0963;49.097754;1;24;s24x5241
5242;21.49059;52.401769;1;29;s29x5242
5243;14.826104;51.594874;1;28;s28x5243
5244;15.085807;53.453428;1;23;s23x5244
5245;19.683326;52.423166;1;6;s6x5245
5246;22.830713;54.116608;1;19;s19x5246
5247;22.545619;53.597226;1;26;s26x5247
5248;22.861875;50.621347;1;11;s11x5248
5249;20.885052;52.85327;0;20;s20x5249
5250;22.902087;52.728469;1;19;s19x5250
5251;18.216605;52.893606;1;15;s15x5251
5252;23.287451;52.875426;1;15;s15x5252
5253;21.596206;50.126631;0;16;s16x5253
5254;17.780918;49.612493;1;15;s15x5254
5255;22.681446;52.866371;1;25;s25x5255
5256;22.836926;51.352189;1;14;s14x5256
5257;18.454573;52.604606;0;9;s9x5257
5258;19.788156;51.553305;1;5;s5x5258
5259;17.561189;54.094801;0;19;s19x5259
5260;23.467098;49.890993;0;29;s29x5260
5261;17.81654;51.445479;1;15;s15x5261
5262;19.705027;50.199966;1;30;s30x5262
5263;15.872143;54.473152;1;29;s29x5263
5264;17.145999;53.056026;1;5;s5x5264
5265;17.947498;54.131976;1;10;s10x5265
5266;16.503359;53.798022;1;6;s6x5266
5267;23.889565;49.619788;1;12;s12x5267
5268;17.708573;54.379227;1;15;s15x5268
5269;21.666616;49.350898;1;9;s9x5269
5270;18.148492;53.090261;0;23;s23x5270
5271;15.515215;52.351889;0;19;s19x5271
5272;17.926774;51.208553;1;15;s15x5272
5273;22.058573;54.692711;1;26;s26x5273
5274;15.702917;51.119225;1;29;s29x5274
5275;14.544544;52.726604;1;12;s12x5275
5276;14.520034;53.215073;0;13;s13x5276
5277;20.902986;54.283864;0;25;s25x5277
5278;21.399904;53.858573;1;22;s22x5278
5279;15.235764;51.253667;1;13;s13x5279
5280;14.345099;50.376518;0;16;s16x5280
5281;23.647958;51.386527;1;27;s27x5281
5282;24.034043;52.510551;1;17;s17x5282
5283;17.436347;49.298168;1;19;s19x5283
5284;14.973508;53.150219;0;16;s16x5284
5285;19.83305;52.815817;0;10;s10x5285
5286;16.252632;49.350468;1;27;s27x5286
5287;16.336123;50.657101;1;21;s21x5287
5288;15.134694;49.074543;1;8;s8x5288
5289;20.966551;54.030013;1;28;s28x5289
5290;20.426891;52.386954;1;19;s19x5290
5291;15.440966;51.602134;1;8;s8x5291
5292;20.755736;54.295973;1;29;s29x5292
5293;20.735441;51.20062;1;15;s15x5293
5294;22.976244;54.405276;1;21;s21x5294
5295;16.915896;51.159229;0;26;s26x5295
5296;16.208822;52.104545;1;11;s11x5296
5297;17.458235;50.840226;1;12;s12x5297
5298;18.385863;53.393536;1;13;s13x5298
5299;14.472575;52.24986;1;29;s29x5299
5300;18.294221;51.618686;1;22;s22x5300
5301;22.9312;49.711032;1;14;s14x5301
5302;23.655745;49.389811;1;22;s22x5302
5303;19.66053;50.901301;1;11;s11x5303
5304;19.296922;52.8908;1;25;s25x5304
5305;22.024048;52.961373;1;11;s11x5305
5306;19.556889;54.789621;1;10;s10x5306
5307;18.3704;49.544231;1;23;s23x5307
5308;18.186783;50.161388;0;27;s27x5308
5309;14.413854;54.026278;1;7;s7x5309
5310;20.792554;51.513824;1;27;s27x5310
5311;19.310779;52.916678;1;15;s15x5311
5312;14.198896;54.628203;1;18;s18x5312
5313;19.040438;49.855327;1;28;s28x5313
5314;16.20975;54.424589;1;5;s5x5314
5315;21.483914;51.67895;0;22;s22x5315
5316;15.268081;52.052238;1;15;s15x5316
5317;15.702262;51.875377;1;17;s17x5317
5318;18.633702;51.41273;1;24;s24x5318
5319;23.920911;52.72964;1;25;s25x5319
5320;14.402199;52.947768;1;18;s18x5320
5321;20.347321;54.472105;1;29;s29x5321
5322;23.643928;52.543061;1;22;s22x5322
5323;22.299103;54.733943;1;21;s21x5323
5324;16.555987;52.199799;1;12;s12x5324
5325;21.554236;54.701467;1;28;s28x5325
5326;18.001741;51.41939;0;16;s16x5326
5327;23.633466;54.249095;1;18;s18x5327
5328;18.345622;54.610231;1;18;s18x5328
5329;22.964895;52.991097;0;27;s27x5329
5330;22.498013;53.064255;1;5;s5x5330
5331;23.345558;49.523102;1;25;s25x5331
5332;15.512553;51.097475;1;9;s9x5332
5333;17.765002;53.328434;1;17;s17x5333
5334;22.738695;54.487056;1;24;s24x5334
5335;18.929176;53.651483;1;8;s8x5335
5336;19.384324;52.733335;1;25;s25x5336
5337;17.220529;52.695234;1;18;s18x5337
5338;17.374389;50.678872;1;20;s20x5338
5339;18.87463;50.758452;1;11;s11x5339
5340;14.210396;51.474426;1;22;s22x5340
5341;14.131069;51.153587;1;29;s29x5341
5342;22.957755;53.269926;1;29;s29x5342
5343;16.587095;53.985398;1;26;s26x5343
5344;16.388564;49.166881;1;18;s18x5344
5345;18.506119;51.930202;1;6;s6x5345
5346;20.998829;50.67188;1;10;s10x5346
5347;20.281508;52.248688;1;15;s15x5347
5348;22.593663;51.360544;1;25;s25x5348
5349;21.049;52.012965;1;19;s19x5349
5350;16.369451;54.104999;1;14;s14x5350
5351;18.512682;51.946272;1;25;s25x5351
5352;15.501159;51.675411;1;8;s8x5352
5353;16.64961;52.682974;1;21;s21x5353
5354;21.140313;52.658516;1;9;s9x5354
5355;17.299014;51.373413;1;25;s25x5355
5356;18.327141;53.591999;1;17;s17x5356
5357;22.468577;53.033549;1;14;s14x5357
5358;20.481705;51.399492;1;25;s25x5358
5359;20.143936;50.61835;1;27;s27x5359
5360;17.628085;50.893156;1;22;s22x5360
5361;22.147752;50.57098;1;21;s21x5361
5362;23.351355;51.406265;1;19;s19x5362
5363;19.893085;51.596461;1;14;s14x5363
5364;16.76311;52.086774;1;10;s10x5364
5365;17.364104;53.18427;1;8;s8x5365
5366;23.790353;54.310624;1;6;s6x5366
5367;23.712888;51.533818;1;8;s8x5367
5368;18.00384;50.680418;1;6;s6x5368
5369;19.544576;50.339158;1;17;s17x5369
5370;18.688307;49.523725;1;5;s5x5370
5371;19.446805;52.25742;1;16;s16x5371
5372;22.804317;49.275297;1;6;s6x5372
5373;23.420254;52.311552;1;9;s9x5373
5374;15.145083;52.040537;1;7;s7x5374
5375;19.723112;51.385328;1;17;s17x5375
5376;18.733166;49.199824;1;27;s27x5376
5377;20.119203;49.546565;1;12;s12x5377
5378;20.964342;50.288141;1;15;s15x5378
5379;18.719628;50.028533;1;29;s29x5379
5380;21.451615;49.365955;1;26;s26x5380
5381;15.940693;53.299323;1;29;s29x5381
5382;18.981735;51.061037;1;22;s22x5382
5383;14.191762;52.684995;1;27;s27x5383
5384;18.690462;51.914642;1;21;s21x5384
5385;18.041605;50.376197;1;19;s19x5385
5386;17.432134;51.989933;1;5;s5x5386
5387;18.035957;52.251922;1;12;s12x5387
5388;17.415408;52.418542;0;30;s30x5388
5389;20.012757;50.653555;1;8;s8x5389
5390;21.615471;54.723796;0;26;s26x5390
5391;22.447585;51.16914;1;23;s23x5391
5392;18.050264;49.432958;1;18;s18x5392
5393;16.929258;49.676016;1;30;s30x5393
5394;18.862725;52.882711;1;30;s30x5394
5395;18.695965;49.4092;1;13;s13x5395
5396;23.511219;49.481261;1;16;s16x5396
5397;23.950777;53.957826;1;10;s10x5397
5398;19.832782;51.570025;1;25;s25x5398
5399;15.150743;52.186991;0;19;s19x5399
5400;19.621672;49.935394;1;12;s12x5400
5401;21.077269;51.382205;1;9;s9x5401
5402;20.967203;50.473797;0;14;s14x5402
5403;18.810857;51.523746;0;9;s9x5403
5404;23.124655;51.226494;0;12;s12x5404
5405;20.466093;54.271298;0;19;s19x5405
